Timestamp,CPU_Usage,RAM_Usage,GPU_Usage
2024-08-07 14:58:22.989187,0.3,68.2,0.0
2024-08-07 14:58:24.094174,0.9,68.2,0.0
2024-08-07 14:58:25.200347,1.0,68.2,0.0
2024-08-07 14:58:26.305865,0.7,68.2,0.0
2024-08-07 14:58:27.413752,0.8,68.2,0.0
2024-08-07 14:58:28.511193,0.7,68.2,0.0
2024-08-07 14:58:29.610869,0.7,68.4,0.0
2024-08-07 14:58:30.710770,0.3,68.2,0.0
2024-08-07 14:58:31.799871,1.7,68.2,0.0
2024-08-07 14:58:32.896708,0.4,68.3,0.0
2024-08-07 14:58:33.997377,1.0,68.3,0.0
2024-08-07 14:58:35.102570,0.8,68.2,0.0
2024-08-07 14:58:36.204245,0.4,68.3,0.0
2024-08-07 14:58:37.314651,0.8,68.2,0.0
2024-08-07 14:58:38.414293,0.5,68.2,0.0
2024-08-07 14:58:39.510891,0.5,68.2,0.0
2024-08-07 14:58:40.608521,0.8,68.2,0.0
2024-08-07 14:58:41.716306,0.8,68.3,0.0
2024-08-07 14:58:42.815248,0.3,68.3,0.0
2024-08-07 14:58:43.913292,1.1,68.3,0.0
2024-08-07 14:58:45.016083,1.6,68.2,0.0
2024-08-07 14:58:46.123313,0.5,68.2,0.0
2024-08-07 14:58:47.229966,1.7,68.2,0.0
2024-08-07 14:58:48.331660,0.3,68.2,0.0
2024-08-07 14:58:49.430739,0.5,68.2,0.0
2024-08-07 14:58:50.536370,1.3,68.2,0.0
2024-08-07 14:58:51.629135,5.0,68.1,4.0
2024-08-07 14:58:52.735471,5.1,68.4,5.0
2024-08-07 14:58:53.831018,3.6,67.4,5.0
2024-08-07 14:58:54.926225,10.4,67.6,12.0
2024-08-07 14:58:56.031044,5.7,67.6,1.0
2024-08-07 14:58:57.142177,5.3,67.6,6.0
2024-08-07 14:58:58.268739,4.4,67.7,6.0
2024-08-07 14:58:59.369324,3.8,68.0,2.0
2024-08-07 14:59:00.474243,2.2,67.8,1.0
2024-08-07 14:59:01.571886,0.9,67.8,1.0
2024-08-07 14:59:02.681067,0.7,67.8,0.0
2024-08-07 14:59:03.784736,0.9,67.8,0.0
2024-08-07 14:59:04.895541,0.6,67.7,0.0
2024-08-07 14:59:06.007399,3.1,67.9,1.0
2024-08-07 14:59:07.106376,5.7,68.8,6.0
2024-08-07 14:59:08.213734,6.0,69.0,3.0
2024-08-07 14:59:09.332798,4.7,69.0,8.0
2024-08-07 14:59:10.431772,4.4,69.0,7.000000000000001
2024-08-07 14:59:11.557765,7.0,69.1,5.0
2024-08-07 14:59:12.669926,2.0,69.2,3.0
2024-08-07 14:59:13.791834,7.9,69.3,5.0
